t,x,y
1.781885E1,9.203951E-2,-8.929445E-4
1.785215E1,9.202582E-2,-9.654226E-4
1.788546E1,9.201923E-2,-1.042194E-3
1.791876E1,9.203712E-2,-1.081724E-3
1.795207E1,9.205765E-2,-1.108865E-3
1.798538E1,9.207590E-2,-1.132860E-3
1.801868E1,9.206034E-2,-1.173428E-3
1.805199E1,9.203476E-2,-1.160223E-3
1.808530E1,9.201780E-2,-1.143681E-3
1.811860E1,9.201539E-2,-1.120190E-3
1.815191E1,9.202347E-2,-1.093053E-3
1.818521E1,9.204728E-2,-1.062771E-3
1.821852E1,9.209356E-2,-9.908899E-4
1.825183E1,9.209830E-2,-9.227953E-4
1.828513E1,9.208039E-2,-8.630966E-4
1.831844E1,9.206826E-2,-8.377870E-4
1.835175E1,9.205590E-2,-7.888827E-4
1.838505E1,9.205316E-2,-6.966037E-4
1.841836E1,9.206265E-2,-6.725928E-4
1.845166E1,9.207049E-2,-6.510490E-4
1.848497E1,9.207636E-2,-6.472044E-4
1.851828E1,9.207167E-2,-6.449522E-4
1.855158E1,9.202550E-2,-6.583189E-4
1.858489E1,9.200857E-2,-6.780968E-4
1.861820E1,9.200842E-2,-7.179914E-4
1.865150E1,9.201838E-2,-7.337539E-4
1.868481E1,9.204019E-2,-7.662121E-4
1.871811E1,9.206793E-2,-8.383472E-4
1.875142E1,9.206614E-2,-9.044942E-4
1.878473E1,9.205765E-2,-9.703861E-4
1.881803E1,9.204807E-2,-9.904821E-4
1.885134E1,9.203281E-2,-1.044034E-3
1.888465E1,9.202620E-2,-1.124949E-3
1.891795E1,9.204356E-2,-1.150447E-3
1.895126E1,9.207244E-2,-1.162252E-3
1.898456E1,9.208603E-2,-1.173780E-3
1.901787E1,9.208180E-2,-1.165841E-3
1.905118E1,9.206967E-2,-1.144114E-3
1.908448E1,9.206140E-2,-1.117933E-3
1.911779E1,9.205791E-2,-1.080193E-3
1.915110E1,9.206380E-2,-1.042050E-3
1.918440E1,9.207283E-2,-1.032644E-3
1.921771E1,9.207629E-2,-9.656089E-4
1.925101E1,9.206569E-2,-8.959620E-4
1.928432E1,9.203899E-2,-8.402318E-4
