R,k,m,I,final_com_velocity,end_time,motor_angle,bottom_height
7.000000000000000146e-03,3.096940495707346709e+05,1.959999999999999937e-04,5.570319999999999020e-09,7.416833601442373691e+00,3.491111799843037850e-02,2.188851523964260082e+01,9.249999999999999889e-02
7.000000000000000146e-03,3.354329473131714622e+05,1.959999999999999937e-04,5.570319999999999020e-09,7.388560603599122700e+00,3.488885650481188955e-02,2.189119708396910369e+01,9.249999999999977685e-02
7.000000000000000146e-03,3.633110235703847138e+05,1.959999999999999937e-04,5.570319999999999020e-09,7.380249078853479361e+00,3.487128091181675854e-02,2.189734795107372989e+01,9.249999999999999889e-02
7.000000000000000146e-03,3.935060670248524402e+05,1.959999999999999937e-04,5.570319999999999020e-09,7.393813094296843857e+00,3.485610015739167011e-02,2.190022269435124258e+01,9.249999999999906908e-02
7.000000000000000146e-03,4.262106425057829474e+05,1.959999999999999937e-04,5.570319999999999020e-09,7.424024292934574554e+00,3.484108490830793714e-02,2.189453436854071811e+01,9.249999999999999889e-02
7.000000000000000146e-03,4.616333190454205032e+05,1.959999999999999937e-04,5.570319999999999020e-09,7.463158062072599463e+00,3.482440242803486879e-02,2.187734527950539842e+01,9.250000000000001277e-02
7.000000000000000146e-03,5.000000000000000000e+05,1.959999999999999937e-04,5.570319999999999020e-09,7.501182503162448612e+00,3.480493891935838857e-02,2.184843252264250779e+01,9.249999999999999889e-02
8.000000000000000167e-03,1.000000000000000000e+04,2.560000000000000426e-04,9.502720000000000868e-09,6.795277956913896134e+00,4.286675315254906415e-02,2.718830189291465160e+01,9.249999999999998501e-02
8.000000000000000167e-03,1.083110727436042180e+04,2.560000000000000426e-04,9.502720000000000868e-09,6.893398096263977592e+00,4.228429083189500642e-02,2.655406002315687175e+01,9.249999999999999889e-02
8.000000000000000167e-03,1.173128847887029951e+04,2.560000000000000426e-04,9.502720000000000868e-09,6.987480905220733618e+00,4.172381464651606781e-02,2.595275133602501327e+01,9.249999999999995726e-02
8.000000000000000167e-03,1.270628439811126918e+04,2.560000000000000426e-04,9.502720000000000868e-09,7.077133770476825347e+00,4.118505899906192702e-02,2.538369842189142389e+01,9.249999999999998501e-02
8.000000000000000167e-03,1.376231293744750110e+04,2.560000000000000426e-04,9.502720000000000868e-09,7.161455405344065994e+00,4.066774173662859176e-02,2.484620576291168348e+01,9.249999999999995726e-02
8.000000000000000167e-03,1.490610877688121582e+04,2.560000000000000426e-04,9.502720000000000868e-09,7.239235772582012451e+00,4.017156745103068333e-02,2.433940973131768359e+01,9.250000000000087319e-02
8.000000000000000167e-03,1.614496632056855196e+04,2.560000000000000426e-04,9.502720000000000868e-09,7.309496508016828820e+00,3.969621886377761033e-02,2.386226104480008559e+01,9.249999999999998501e-02
8.000000000000000167e-03,1.748678621590140392e+04,2.560000000000000426e-04,9.502720000000000868e-09,7.372072301449498433e+00,3.924137107486666554e-02,2.341368847013954024e+01,9.249999999999998501e-02
8.000000000000000167e-03,1.894012573882348443e+04,2.560000000000000426e-04,9.502720000000000868e-09,7.427705623280760783e+00,3.880678400144624979e-02,2.299286452518397184e+01,9.249999999999998501e-02
8.000000000000000167e-03,2.051425336670720935e+04,2.560000000000000426e-04,9.502720000000000868e-09,7.477359530145796462e+00,3.839232567489221648e-02,2.259934315237706670e+01,9.249999999999998501e-02
8.000000000000000167e-03,2.221920788682152124e+04,2.560000000000000426e-04,9.502720000000000868e-09,7.521197302520123529e+00,3.799795420510901356e-02,2.223291096404761191e+01,9.249999999999997113e-02
8.000000000000000167e-03,2.406586241734785290e+04,2.560000000000000426e-04,9.502720000000000868e-09,7.558294667855279592e+00,3.762361984510700225e-02,2.189329668627773984e+01,9.250000000000076217e-02
8.000000000000000167e-03,2.606599374922933930e+04,2.560000000000000426e-04,9.502720000000000868e-09,7.587442640344363554e+00,3.726922344451537306e-02,2.158003109427965427e+01,9.250000000000001277e-02
8.000000000000000167e-03,2.823235745107105686e+04,2.560000000000000426e-04,9.502720000000000868e-09,7.608074012741287362e+00,3.693462168678809249e-02,2.129258682151030158e+01,9.249999999999998501e-02
8.000000000000000167e-03,3.057876921606393807e+04,2.560000000000000426e-04,9.502720000000000868e-09,7.619981935267619022e+00,3.661964209637349338e-02,2.103050239630124096e+01,9.249999999999999889e-02
8.000000000000000167e-03,3.312019296970979485e+04,2.560000000000000426e-04,9.502720000000000868e-09,7.622301541661862245e+00,3.632406858796348448e-02,2.079318380212539097e+01,9.250000000000001277e-02
8.000000000000000167e-03,3.587283630024446029e+04,2.560000000000000426e-04,9.502720000000000868e-09,7.614778776383085201e+00,3.604756587068812940e-02,2.057971730916001007e+01,9.249999999999999889e-02
