sweep_type,motor_scale,tau_max,w_max,m,I,I_ratio,stroke,g,L_min,L_max,guess_idx,guess_L,guess_r,guess_T,success,opt_L,opt_r,opt_T,y_final,ydot_final,error
mass,0.5,0.16722222223,391.25918506582883,0.12758620689655173,4.5e-06,1.0,0.05,9.81,0.1,0.18,1,0.12,0.01,0.03,True,0.09999999165732325,0.010617766509180754,0.0395963794909506,0.04999999999646013,2.718981878826495,
mass,0.5,0.16722222223,391.25918506582883,0.12758620689655173,4.5e-06,1.0,0.05,9.81,0.1,0.18,2,0.18,0.004,0.03,True,0.09999999515761267,0.010617765985714366,0.03959638051585074,0.04999999998581132,2.71898187266211,
mass,0.5,0.16722222223,391.25918506582883,0.12758620689655173,4.5e-06,1.0,0.05,9.81,0.1,0.18,3,0.18,0.01,0.03,True,0.09999999475163673,0.010617766050529864,0.03959638039175536,0.049999999989912745,2.7189818736205718,
mass,0.5,0.16722222223,391.25918506582883,0.14310344827586208,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,True,0.09999999003117468,0.010217262471242272,0.040951560658284716,0.04999999999999937,2.6017498033881883,
mass,0.5,0.16722222223,391.25918506582883,0.14310344827586208,4.5e-06,1.0,0.05,9.81,0.1,0.18,1,0.12,0.01,0.03,True,0.09999999002815994,0.010217262471232296,0.040951560657929084,0.04999999999924785,2.601749803325778,
mass,0.5,0.16722222223,391.25918506582883,0.14310344827586208,4.5e-06,1.0,0.05,9.81,0.1,0.18,2,0.18,0.004,0.03,True,0.1799932335240806,0.0010000057035985338,0.3298581741180839,0.0500000055155958,0.37128953048805274,
mass,0.5,0.16722222223,391.25918506582883,0.14310344827586208,4.5e-06,1.0,0.05,9.81,0.1,0.18,3,0.18,0.01,0.03,True,0.09999999230008566,0.010217262224739907,0.04095156122460272,0.04999999999748563,2.601749800055779,
mass,0.5,0.16722222223,391.25918506582883,0.1586206896551724,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,False,nan,nan,nan,nan,nan,Error in Opti::solve [OptiNode] at .../casadi/core
mass,0.5,0.16722222223,391.25918506582883,0.1586206896551724,4.5e-06,1.0,0.05,9.81,0.1,0.18,1,0.12,0.01,0.03,True,0.09999999003354308,0.009868334505600996,0.04222232694713539,0.04999999999997932,2.500104832919855,
mass,0.5,0.16722222223,391.25918506582883,0.1586206896551724,4.5e-06,1.0,0.05,9.81,0.1,0.18,2,0.18,0.004,0.03,True,0.09999999075335796,0.01500000994035675,0.037853366381577935,0.05000000499810459,2.399225687562934,
mass,0.5,0.16722222223,391.25918506582883,0.1586206896551724,4.5e-06,1.0,0.05,9.81,0.1,0.18,3,0.18,0.01,0.03,True,0.09999999001660875,0.009868334507056962,0.04222232694330458,0.05000000000001679,2.5001048329447544,
mass,0.5,0.16722222223,391.25918506582883,0.17413793103448277,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,True,0.10000004350826618,0.009559979400747196,0.04342258410279604,0.050000001911236484,2.4107108942642728,
mass,0.5,0.16722222223,391.25918506582883,0.17413793103448277,4.5e-06,1.0,0.05,9.81,0.1,0.18,1,0.12,0.01,0.03,True,0.09999999158571678,0.009559984437976668,0.0434225692404524,0.049999999993761514,2.410711111904338,
mass,0.5,0.16722222223,391.25918506582883,0.17413793103448277,4.5e-06,1.0,0.05,9.81,0.1,0.18,2,0.18,0.004,0.03,True,0.10000002445602406,0.015000007989632481,0.03878998782986497,0.050000004996277846,2.298400711550507,
mass,0.5,0.16722222223,391.25918506582883,0.17413793103448277,4.5e-06,1.0,0.05,9.81,0.1,0.18,3,0.18,0.01,0.03,True,0.09999999001883775,0.00955998457961261,0.04342256885936907,0.04999999999999996,2.4107111139195045,
mass,0.5,0.16722222223,391.25918506582883,0.1896551724137931,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,True,0.0999999901424597,0.009433320117616977,0.04431003151529602,0.04999990717309101,2.331012439288615,
mass,0.5,0.16722222223,391.25918506582883,0.1896551724137931,4.5e-06,1.0,0.05,9.81,0.1,0.18,1,0.12,0.01,0.03,True,0.09999999003984791,0.00928430698305426,0.04456289796250777,0.05000000000000919,2.3311682630280117,
mass,0.5,0.16722222223,391.25918506582883,0.1896551724137931,4.5e-06,1.0,0.05,9.81,0.1,0.18,2,0.18,0.004,0.03,True,0.17999998925900512,0.0010000014188819343,0.3302374121665834,0.05000000488588982,0.37016834512295144,
mass,0.5,0.16722222223,391.25918506582883,0.1896551724137931,4.5e-06,1.0,0.05,9.81,0.1,0.18,3,0.18,0.01,0.03,True,0.09999999089730453,0.009284306874779132,0.044562898228455376,0.04999999996598965,2.3311682602164527,
